<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
СОЛЛЕРС;W;09/07/12;000000;443;162910
СОЛЛЕРС;W;16/07/12;000000;418,9;32700
СОЛЛЕРС;W;23/07/12;000000;415,1;55500
СОЛЛЕРС;W;30/07/12;000000;417;68130
СОЛЛЕРС;W;06/08/12;000000;427,2;71300
СОЛЛЕРС;W;13/08/12;000000;447;53720
СОЛЛЕРС;W;20/08/12;000000;450;99200
СОЛЛЕРС;W;27/08/12;000000;433;155640
СОЛЛЕРС;W;03/09/12;000000;445;40400
СОЛЛЕРС;W;10/09/12;000000;575,5;330020
СОЛЛЕРС;W;17/09/12;000000;550;76330
СОЛЛЕРС;W;24/09/12;000000;622;140820
СОЛЛЕРС;W;01/10/12;000000;657;189670
СОЛЛЕРС;W;08/10/12;000000;670;151070
СОЛЛЕРС;W;15/10/12;000000;689,9;104840
СОЛЛЕРС;W;22/10/12;000000;690,1;101230
СОЛЛЕРС;W;29/10/12;000000;679,2;129250
СОЛЛЕРС;W;05/11/12;000000;672,2;61460
СОЛЛЕРС;W;12/11/12;000000;637;76540
СОЛЛЕРС;W;19/11/12;000000;618,8;37540
СОЛЛЕРС;W;26/11/12;000000;668;69440
СОЛЛЕРС;W;03/12/12;000000;653,5;51770
СОЛЛЕРС;W;10/12/12;000000;654,1;39600
СОЛЛЕРС;W;17/12/12;000000;669,9;80780
СОЛЛЕРС;W;24/12/12;000000;682,3;48970
СОЛЛЕРС;W;07/01/13;000000;693,5;15710
СОЛЛЕРС;W;14/01/13;000000;778,5;166820
СОЛЛЕРС;W;21/01/13;000000;789,9;93160
СОЛЛЕРС;W;28/01/13;000000;796;80560
СОЛЛЕРС;W;04/02/13;000000;786,2;70700
СОЛЛЕРС;W;11/02/13;000000;790;61310
СОЛЛЕРС;W;18/02/13;000000;797;41710
СОЛЛЕРС;W;25/02/13;000000;798,9;45210
СОЛЛЕРС;W;04/03/13;000000;800;25260
СОЛЛЕРС;W;11/03/13;000000;781,3;63480
СОЛЛЕРС;W;18/03/13;000000;742,5;44900
СОЛЛЕРС;W;25/03/13;000000;760;47020
СОЛЛЕРС;W;01/04/13;000000;759,3;37960
СОЛЛЕРС;W;08/04/13;000000;707,9;37730
СОЛЛЕРС;W;15/04/13;000000;631;44580
СОЛЛЕРС;W;22/04/13;000000;641,2;16260
СОЛЛЕРС;W;29/04/13;000000;653,5;8330
СОЛЛЕРС;W;06/05/13;000000;686,9;17020
СОЛЛЕРС;W;13/05/13;000000;746,6;62100
СОЛЛЕРС;W;20/05/13;000000;697;41350
СОЛЛЕРС;W;27/05/13;000000;720;33660
СОЛЛЕРС;W;03/06/13;000000;715;18460
СОЛЛЕРС;W;10/06/13;000000;677,8;23190
СОЛЛЕРС;W;17/06/13;000000;681,4;17410
СОЛЛЕРС;W;24/06/13;000000;710,9;16430
