;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
83183;2;1.0;1.0;20.0;0.0;20.0;1;4.021975159750783;55.730748789081275;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
83568;3;2.0;1.0;30.0;0.0;20.0;2;4.783228573349251;85.0;3;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
83614;5;1.5;2.0;36.0;190.0;19.0;1;4.9185509610471865;90.0;1;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
85560;2;1.0;1.0;30.0;0.0;0.0;1;3.551695678312607;15.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
86514;2;1.0;1.0;40.0;150.0;10.0;1;2.5961916834220187;70.66789891828407;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
87549;2;1.0;1.0;25.0;0.0;10.0;1;2.1723865372792845;18.0;2;True;True;False;False;False;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0
89102;4;1.0;1.0;40.0;0.0;15.0;2;4.215948998818062;74.0715915352121;10;True;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
91290;3;1.0;1.0;20.0;0.0;0.0;1;2.05662034079342;10.0;2;False;False;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
106290;3;1.0;1.0;45.0;125.0;30.0;2;1.966126755512696;72.89349020324008;1;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
106331;4;1.0;1.0;50.0;0.0;5.0;2;4.082946713498696;55.0;60;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
107968;2;1.0;1.0;35.0;300.0;25.0;1;4.171020253194026;70.89900096592855;3;True;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
