;accommodates;bathrooms;bedrooms;price;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;host_has_profile_pic;room_type;bed_type;minimum_nights;instant_bookable;is_business_travel_ready;cancellation_policy;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed
189288;4;1.0;2.0;100.0;40.0;150.0;15.0;2;5.247905246883434;90.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;True;True;True;False
190448;4;1.0;0.0;50.0;0.0;0.0;10.0;2;7.858517425823251;60.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;True;False
191023;2;1.0;1.0;49.0;10.0;250.0;25.0;1;1.0264549484844585;49.0;t;Private room;Real Bed;1;f;f;moderate;False;True;False;False;False
192052;4;1.0;0.0;79.0;35.0;0.0;5.0;2;3.0510569283208913;90.0;t;Entire home/apt;Real Bed;2;t;f;strict_14_with_grace_period;True;True;True;False;False
192103;4;1.0;1.0;75.0;35.0;0.0;5.0;2;3.0970139061098845;40.0;t;Entire home/apt;Real Bed;2;t;f;strict_14_with_grace_period;True;True;False;False;False
192499;2;1.0;1.0;49.0;0.0;0.0;10.0;1;1.5336857385068676;52.176678311029384;t;Private room;Real Bed;2;f;f;moderate;False;False;False;False;False
193625;2;1.0;1.0;38.0;0.0;0.0;18.0;1;2.949228588692122;215.0;t;Private room;Real Bed;3;t;f;strict_14_with_grace_period;True;False;True;False;False
194374;5;1.0;2.0;65.0;40.0;0.0;25.0;1;7.571846150817341;10.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;False;True;True;False;False
194465;2;1.5;1.0;75.0;35.0;250.0;15.0;1;3.3894036471269966;10.0;t;Private room;Real Bed;3;t;f;strict_14_with_grace_period;True;True;False;True;False
194546;4;1.0;1.0;75.0;35.0;0.0;19.0;2;0.9998337699695174;300.0;t;Entire home/apt;Real Bed;4;t;f;strict_14_with_grace_period;True;True;True;True;False
194694;2;1.0;1.0;38.0;17.0;100.0;0.0;1;6.050614839103449;50.0;t;Private room;Real Bed;3;t;f;flexible;False;True;False;False;False
195467;4;1.0;2.0;89.0;30.0;200.0;7.0;2;4.473088498636575;60.0;t;Private room;Real Bed;2;f;f;moderate;True;True;True;True;False
196149;4;1.0;2.0;74.0;35.0;150.0;25.0;2;3.130025860395509;74.9140162218985;t;Entire home/apt;Real Bed;2;t;f;strict_14_with_grace_period;True;True;True;False;False
196285;2;1.0;0.0;50.0;25.0;0.0;10.0;1;1.4616871038208092;38.0;t;Entire home/apt;Real Bed;3;f;f;moderate;False;False;False;False;False
197291;2;1.0;1.0;120.0;0.0;100.0;15.0;2;9.08883833057054;62.88368971201252;t;Entire home/apt;Real Bed;1;f;f;strict_14_with_grace_period;True;True;False;False;False
198584;1;2.0;1.0;38.0;30.0;200.0;25.0;1;5.453384696862092;25.0;t;Private room;Real Bed;7;f;f;flexible;True;True;False;True;False
198896;2;1.5;1.0;25.0;0.0;0.0;10.0;1;4.1515029202836695;20.0;t;Private room;Real Bed;1;f;f;flexible;False;True;False;False;True
200125;4;1.0;2.0;89.0;40.0;0.0;29.0;2;14.285103634604587;66.49058527000011;f;Entire home/apt;Real Bed;4;f;f;strict_14_with_grace_period;True;True;False;False;False
201224;2;1.0;1.0;88.0;49.0;0.0;30.0;2;3.0607638676736766;84.48423540543432;t;Entire home/apt;Real Bed;3;t;f;moderate;True;True;False;False;False
203634;4;2.0;2.0;125.0;70.0;750.0;25.0;2;4.536067477223032;10.0;t;Entire home/apt;Real Bed;4;t;f;strict_14_with_grace_period;True;True;False;True;False
